d_type,noise_type,seed,d_char,alloy,length,str_step_size,crss
partial,SF-noise,1,edge,AlMg10,215,6,73.0
partial,SF-noise,2,edge,AlMg10,215,7,66.5
partial,SF-noise,3,edge,AlMg10,215,5,48.5
partial,SF-noise,4,edge,AlMg10,215,5,48.5
partial,SF-noise,5,edge,AlMg10,215,5,53.5
partial,SF-noise,6,edge,AlMg10,215,5,48.5
partial,SF-noise,7,edge,AlMg10,215,6,73.0
partial,SF-noise,8,edge,AlMg10,215,7,59.5
partial,SF-noise,9,edge,AlMg10,215,13,69.5
partial,SF-noise,10,edge,AlMg10,215,6,79.0
partial,SF-noise,11,edge,AlMg10,215,6,73.0
partial,SF-noise,12,edge,AlMg10,215,13,69.5
partial,SF-noise,15,edge,AlMg10,215,5,48.5
partial,SF-noise,16,edge,AlMg10,215,7,42.5
partial,SF-noise,17,edge,AlMg10,215,5,48.5
partial,SF-noise,18,edge,AlMg10,215,5,48.5
partial,SF-noise,19,edge,AlMg10,215,5,53.5
partial,SF-noise,20,edge,AlMg10,215,7,66.5
