d_type,noise_type,seed,d_char,alloy,length,stress,dydx_mean
partial,SF-noise,3,edge,AlMg10,215,1,-8.213174561390198e-16
partial,SF-noise,3,edge,AlMg10,215,26,9.732057553498567e-16
partial,SF-noise,3,edge,AlMg10,215,39,-5.941937819054811e-15
partial,SF-noise,3,edge,AlMg10,215,46,-2.638092516790355e-15
partial,SF-noise,3,edge,AlMg10,215,51,2.6949621598955647e-10
partial,SF-noise,3,edge,AlMg10,215,101,9.127039230369735e-10
partial,SF-noise,4,edge,AlMg10,215,1,-2.0429099266922853e-14
partial,SF-noise,4,edge,AlMg10,215,26,9.417385671920316e-15
partial,SF-noise,4,edge,AlMg10,215,39,-9.345997328549908e-16
partial,SF-noise,4,edge,AlMg10,215,46,7.285462779790577e-11
partial,SF-noise,4,edge,AlMg10,215,51,1.9762657871140389e-10
partial,SF-noise,4,edge,AlMg10,215,101,7.713314062258589e-10
partial,SF-noise,5,edge,AlMg10,215,1,-1.39641246338131e-15
partial,SF-noise,5,edge,AlMg10,215,51,1.2396254677046402e-15
partial,SF-noise,5,edge,AlMg10,215,56,5.345803247986966e-10
partial,SF-noise,5,edge,AlMg10,215,63,5.572530164155328e-10
partial,SF-noise,5,edge,AlMg10,215,76,6.810835855243461e-10
partial,SF-noise,5,edge,AlMg10,215,101,9.177533528959941e-10
partial,SF-noise,2,edge,AlMg10,215,1,1.5985322106441246e-15
partial,SF-noise,2,edge,AlMg10,215,51,-2.7564736833858e-15
partial,SF-noise,2,edge,AlMg10,215,63,3.820228482778822e-11
partial,SF-noise,2,edge,AlMg10,215,70,4.80066694501362e-10
partial,SF-noise,2,edge,AlMg10,215,76,7.141604569775956e-10
partial,SF-noise,2,edge,AlMg10,215,101,9.5362901620132e-10
partial,SF-noise,15,edge,AlMg10,215,1,-1.2027166055979832e-15
partial,SF-noise,15,edge,AlMg10,215,26,-1.1621317704815434e-14
partial,SF-noise,15,edge,AlMg10,215,39,4.872365893272372e-16
partial,SF-noise,15,edge,AlMg10,215,46,-3.308436733124101e-14
partial,SF-noise,15,edge,AlMg10,215,51,2.023285194117657e-10
partial,SF-noise,15,edge,AlMg10,215,101,8.398739446197716e-10
partial,SF-noise,12,edge,AlMg10,215,1,-3.1306261158740512e-15
partial,SF-noise,12,edge,AlMg10,215,51,-2.450255732722231e-15
