d_char,noise_type,seed,d_type,alloy,length,str_step_size,crss
full,SS-noise,1,edge,AlMg5,4.0,5.0,298.5
full,SS-noise,2,edge,AlMg5,4.0,6.0,323.0
full,SS-noise,3,edge,AlMg5,4.0,7.0,409.5
full,SS-noise,4,edge,AlMg5,4.0,6.0,179.0
full,SS-noise,5,edge,AlMg5,4.0,5.0,253.5
full,SS-noise,6,edge,AlMg5,4.0,7.0,166.5
full,SS-noise,7,edge,AlMg5,4.0,7.0,416.5
full,SS-noise,8,edge,AlMg5,4.0,5.0,353.5
full,SS-noise,9,edge,AlMg5,4.0,7.0,292.5
full,SS-noise,10,edge,AlMg5,4.0,100.0,51.0
full,SS-noise,11,edge,AlMg5,4.0,100.0,51.0
full,SS-noise,12,edge,AlMg5,4.0,5.0,448.5
full,SS-noise,13,edge,AlMg5,4.0,6.0,429.0
full,SS-noise,14,edge,AlMg5,4.0,6.0,423.0
full,SS-noise,15,edge,AlMg5,4.0,6.0,229.0
full,SS-noise,16,edge,AlMg5,4.0,7.0,185.5
full,SS-noise,17,edge,AlMg5,4.0,5.0,348.5
full,SS-noise,18,edge,AlMg5,4.0,7.0,159.5
full,SS-noise,19,edge,AlMg5,4.0,7.0,235.5
full,SS-noise,20,edge,AlMg5,4.0,5.0,303.5
full,SS-noise,1,edge,AlMg5,29.0,5.0,298.5
full,SS-noise,2,edge,AlMg5,29.0,5.0,198.5
full,SS-noise,3,edge,AlMg5,29.0,7.0,235.5
full,SS-noise,4,edge,AlMg5,29.0,5.0,253.5
full,SS-noise,5,edge,AlMg5,29.0,7.0,216.5
full,SS-noise,6,edge,AlMg5,29.0,7.0,266.5
full,SS-noise,7,edge,AlMg5,29.0,5.0,253.5
full,SS-noise,8,edge,AlMg5,29.0,6.0,229.0
full,SS-noise,9,edge,AlMg5,29.0,7.0,235.5
full,SS-noise,10,edge,AlMg5,29.0,5.0,303.5
full,SS-noise,11,edge,AlMg5,29.0,6.0,279.0
full,SS-noise,12,edge,AlMg5,29.0,5.0,253.5
full,SS-noise,13,edge,AlMg5,29.0,7.0,242.5
full,SS-noise,14,edge,AlMg5,29.0,7.0,209.5
full,SS-noise,15,edge,AlMg5,29.0,5.0,253.5
full,SS-noise,16,edge,AlMg5,29.0,7.0,292.5
full,SS-noise,17,edge,AlMg5,29.0,7.0,216.5
full,SS-noise,18,edge,AlMg5,29.0,7.0,266.5
full,SS-noise,19,edge,AlMg5,29.0,7.0,209.5
full,SS-noise,20,edge,AlMg5,29.0,6.0,229.0
full,SS-noise,1,edge,AlMg5,63.0,7.0,185.5
full,SS-noise,2,edge,AlMg5,63.0,7.0,209.5
full,SS-noise,3,edge,AlMg5,63.0,7.0,209.5
full,SS-noise,4,edge,AlMg5,63.0,5.0,198.5
